"GameID","PlayID","PitchNo","Date","Time","PAofInning","PitchofPA","Pitcher","PitcherThrows","PitcherTeam","Batter","BatterSide","BatterTeam","Inning","Top.Bottom","Outs","Balls","Strikes","TaggedPitchType","AutoPitchType","PitchCall","KorBB","HitType","PlayResult","OutsOnPlay","RunsScored","RelSpeed","SpinRate","SpinAxis","RelHeight","RelSide","Extension","InducedVertBreak","HorzBreak","PlateLocHeight","PlateLocSide","VertApprAngle","HorzApprAngle","ExitSpeed","Angle","Distance","Bearing","HangTime","pfxx","pfxz","x0","y0","z0","vx0","vy0","vz0","ax0","ay0","az0","yyyymmdd","key","XCoord","YCoord","XLand","YLand","ContactType","LAEVcol","Bases","Hit","X1B","X2B","X3B","HR","SH","Error","Out","K","BB","HBP","ExpOBP","ExpSLG","Exp2OPS","Pred_1B","Pred_2B","Pred_3B","Pred_HR","BBtype","Hit_TM_Text","mvmt.x","mvmt.z","InPlay","AB_End","Good_Contact","Reach","FB","GB","LD","PU"
"HPUUNC10116","HPUUNC10116 10) 03",346,"10/1/16","3:50:47 PM",3,4,"Maris, Blaise","Right","HIG_PAN","Busch, Michael","Left","NOR_TAR",10,"Bottom",1,1,1,"CH","CH","FoulBall","Undefined","Undefined","Undefined",0,0,77.28945592,1491.401655,245.5378847,5.459588638,2.748404942,5.978978363,5.598608959,12.40383936,1.822029449,0.843942586,-8.010200727,-0.816396189,56.97374172,-16.64301836,3.699165749,173.2088862,0.087070313,-7.732601702,3.100725005,-2.505081886,50,5.421237515,5.87143476,-112.2701957,-1.523084209,-9.741474174,22.7864175,-28.26777823,"2016-10-01","HPUUNC10116 10) 03 4",-54.5869866853792,-16.3177244181748,0.43742621827206,-3.67321188364392,"Weak","tan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GB","Contact Type: Weak <br>Launch Angle: -17 <br>Exit Velo: 57 <br>Result: Undefined <br>Date: 10/1/16 <br>Inning: 10 <br>Count: 1-1 <br>Distance: 4",1.03365328,2.99155074658333,0,FALSE,0,NA,NA,NA,NA,NA
"HPUUNC10116","HPUUNC10116 10) 03",347,"10/1/16","3:51:26 PM",3,5,"McKee, Bailey","Right","HIG_PAN","Busch, Michael","Left","NOR_TAR",10,"Bottom",1,1,2,"CH","CH","FoulBall","Undefined","Undefined","Undefined",0,0,84.83957644,2054.291277,252.378737,5.266045243,2.806947267,5.606405056,5.679630219,17.99768196,2.825947057,1.05514225,-5.891714428,-0.109719557,NA,NA,NA,NA,NA,-10.6029445,2.924280087,-2.520925826,50,5.277374356,6.908383965,-123.2112203,-0.261297591,-16.26399637,24.97443675,-27.68845677,"2016-10-01","HPUUNC10116 10) 03 5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Contact Type: NA <br>Launch Angle: NA <br>Exit Velo: NA <br>Result: Undefined <br>Date: 10/1/16 <br>Inning: 10 <br>Count: 1-2 <br>Distance: NA",1.49980683,2.99830251825,0,FALSE,NA,NA,NA,NA,NA,NA
"HPUUNC10116","HPUUNC10116 10) 03",348,"10/1/16","3:51:56 PM",3,6,"McKee, Bailey","Right","HIG_PAN","Busch, Michael","Left","NOR_TAR",10,"Bottom",1,1,2,"BB","BB","InPlay","Undefined","GroundBall","Out",1,0,74.28861953,1892.935677,50.94783706,5.184680576,2.803547102,5.883746042,-4.318088939,-5.264163974,1.32177847,0.310051976,-9.42306777,-3.198901423,62.21932549,-21.65141725,5.39961224,16.94725287,0.042518921,2.241206245,-2.52620519,-2.622192041,50,5.212942707,4.318103231,-108.0884448,-0.084295772,2.65987034,18.27837616,-35.17215651,"2016-10-01","HPUUNC10116 10) 03 6",-57.8294880464609,-22.9563668012775,1.57393943078741,5.16512604014369,"Topped","darkgreen",0,0,0,0,0,0,0,0,1,0,0,0,0.152540367864065,0.453967288951811,0.237761971440241,0.150576821896987,0.00182690732014182,0.000136638646886454,5.0317905835811e-14,"GB","Contact Type: Topped <br>Launch Angle: -22 <br>Exit Velo: 62 <br>Result: Out <br>Date: 10/1/16 <br>Inning: 10 <br>Count: 1-2 <br>Distance: 5",-0.438680331166667,2.16515925508333,1,TRUE,0,0,0,1,0,0
"HPUUNC10116","HPUUNC10116 11) 08",388,"10/1/16","4:20:37 PM",8,1,"McKee, Bailey","Right","HIG_PAN","Busch, Michael","Left","NOR_TAR",11,"Bottom",2,0,0,"CH","CH","StrikeCalled","Undefined","Undefined","Undefined",0,0,76.98031203,1763.059151,214.3579401,5.940747876,2.363116091,6.887681304,14.30399674,9.808172366,3.44253057,1.21353721,-5.923205632,-0.264619155,NA,NA,NA,NA,NA,-6.204001117,7.982467917,-2.230540108,50,5.938064535,4.002115915,-112.0773398,-0.439813356,-7.766529736,23.24377855,-22.18113056,"2016-10-01","HPUUNC10116 11) 08 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Contact Type: NA <br>Launch Angle: NA <br>Exit Velo: NA <br>Result: Undefined <br>Date: 10/1/16 <br>Inning: 11 <br>Count: 0-0 <br>Distance: NA",0.817347697166667,3.71699972833333,0,FALSE,NA,NA,NA,NA,NA,NA
"HPUUNC10116","HPUUNC10116 11) 08",389,"10/1/16","4:21:00 PM",8,2,"McKee, Bailey","Right","HIG_PAN","Busch, Michael","Left","NOR_TAR",11,"Bottom",2,0,1,"FB","FB","FoulBall","Undefined","Undefined","Undefined",0,0,87.66070447,2451.675419,194.6560932,6.510522361,2.128829883,6.596340024,25.90330005,6.783186922,2.901241207,-0.375687312,-4.918918561,-2.049528926,85.11641319,-11.64284255,13.1635516,-58.63603495,0.110414429,-4.808093601,15.31887222,-1.903358846,50,6.299081642,7.257909672,-127.28424,-7.030104743,-7.795844193,28.97227484,-7.336025224,"2016-10-01","HPUUNC10116 11) 08 2",-83.3651107331568,-17.1773719404137,-11.2400711445824,6.85126932696329,"Topped","darkgreen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GB","Contact Type: Topped <br>Launch Angle: -12 <br>Exit Velo: 85 <br>Result: Undefined <br>Date: 10/1/16 <br>Inning: 11 <br>Count: 0-1 <br>Distance: 13",0.565265576833333,4.6836083375,0,FALSE,0,NA,NA,NA,NA,NA
"HPUUNC10116","HPUUNC10116 11) 08",390,"10/1/16","4:21:32 PM",8,3,"McKee, Bailey","Right","HIG_PAN","Busch, Michael","Left","NOR_TAR",11,"Bottom",2,0,2,"BB","BB","BallCalled","Undefined","Undefined","Undefined",0,0,76.98229395,2018.665309,20.26228197,5.852143727,2.357383155,5.816433086,-4.629262114,-1.692461939,2.385279579,1.725465328,-8.836915029,-0.84778032,NA,NA,NA,NA,NA,0.749569024,-2.788278732,-2.313225801,50,5.898709341,1.079520256,-111.9610806,0.37457491,0.941282515,22.2305713,-35.67547129,"2016-10-01","HPUUNC10116 11) 08 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Contact Type: NA <br>Launch Angle: NA <br>Exit Velo: NA <br>Result: Undefined <br>Date: 10/1/16 <br>Inning: 11 <br>Count: 0-2 <br>Distance: NA",-0.141038494916667,2.13922815716667,0,FALSE,NA,NA,NA,NA,NA,NA
"HPUUNC10116","HPUUNC10116 11) 08",391,"10/1/16","4:21:59 PM",8,4,"McKee, Bailey","Right","HIG_PAN","Busch, Michael","Left","NOR_TAR",11,"Bottom",2,1,2,"BB","BB","BallCalled","Undefined","Undefined","Undefined",0,0,86.95961484,2457.105443,178.7936655,6.371792075,1.692330773,6.396594976,17.6488726,-0.372356766,5.671534409,0.546880935,-2.584614307,-1.282400557,NA,NA,NA,NA,NA,-0.130031401,9.44229368,-1.60535966,50,6.428044904,2.689944246,-126.6661196,1.470439136,-0.211396501,25.71102137,-16.82338837,"2016-10-01","HPUUNC10116 11) 08 4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Contact Type: NA <br>Launch Angle: NA <br>Exit Velo: NA <br>Result: Undefined <br>Date: 10/1/16 <br>Inning: 11 <br>Count: 1-2 <br>Distance: NA",-0.0310297305,3.99573938333333,0,FALSE,NA,NA,NA,NA,NA,NA
"HPUUNC10116","HPUUNC10116 11) 08",392,"10/1/16","4:22:24 PM",8,5,"McKee, Bailey","Right","HIG_PAN","Busch, Michael","Left","NOR_TAR",11,"Bottom",2,2,2,"CH","CH","BallCalled","Undefined","Undefined","Undefined",0,0,76.35199083,1679.053993,231.1689566,5.83911057,2.513056059,6.684042798,6.602556975,8.257032314,3.556288305,3.640516066,-6.454601993,2.05955442,NA,NA,NA,NA,NA,-4.447902227,3.339750654,-2.548401051,50,5.898318907,-1.128550056,-111.2473006,1.252710102,-5.55008286,20.75996978,-28.00671485,"2016-10-01","HPUUNC10116 11) 08 5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Contact Type: NA <br>Launch Angle: NA <br>Exit Velo: NA <br>Result: Undefined <br>Date: 10/1/16 <br>Inning: 11 <br>Count: 2-2 <br>Distance: NA",0.688086026166667,3.07521308125,0,FALSE,NA,NA,NA,NA,NA,NA
"HPUUNC10116","HPUUNC10116 11) 08",393,"10/1/16","4:22:58 PM",8,6,"McKee, Bailey","Right","HIG_PAN","Busch, Michael","Left","NOR_TAR",11,"Bottom",2,3,2,"Und","Und","BallCalled","Walk","Undefined","Undefined",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-10-01","HPUUNC10116 11) 08 6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,"Contact Type: NA <br>Launch Angle: NA <br>Exit Velo: NA <br>Result: Undefined <br>Date: 10/1/16 <br>Inning: 11 <br>Count: 3-2 <br>Distance: NA",NA,NA,0,TRUE,NA,1,NA,NA,NA,NA
"UNC2UNC012717","UNC2UNC012717 01) 04",27,"1/27/17","2:30:40 PM",4,1,"Bergner, Austin","Right","NOR_TAR2","Busch, Michael","Left","NOR_TAR",1,"Bottom",2,0,0,"FB","FB","InPlay","Undefined","GroundBall","Out",1,0,89.451782,2033.917203,231.5048189,5.860420427,3.211667168,6.594731366,12.40947543,15.64436026,3.141692451,0.650521342,-5.194104312,-1.209762032,NA,NA,NA,NA,NA,-10.08382104,7.209434713,-2.930646182,50,5.786016143,9.125978173,-129.872884,-2.784147144,-16.91501545,31.7322481,-20.08064675,"2017-01-27","UNC2UNC012717 01) 04 1",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,0.259375853993082,0.259375853993082,0.233438268593774,NA,NA,NA,NA,NA,"Contact Type: NA <br>Launch Angle: NA <br>Exit Velo: NA <br>Result: Out <br>Date: 1/27/17 <br>Inning: 1 <br>Count: 0-0 <br>Distance: NA",1.30369668833333,3.5591229525,1,TRUE,NA,0,0,0,0,0
