"X","Y","Bin"
111.758330357207,27.1122775835841,"under"
111.314100660581,28.8820185258241,"under"
110.841848234393,30.644488574354,"under"
110.341691965667,32.3992440367644,"under"
109.813757766068,34.1458431627516,"under"
109.258178540209,35.883846255326,"under"
108.675094152187,37.6128157815035,"under"
108.064651390379,39.3323164824519,"under"
107.427003930487,41.0419154830653,"under"
106.762312296848,42.7411824009377,"under"
106.070743822027,44.4296894547098,"under"
105.352472604688,46.1070115717606,"under"
104.60767946577,47.7727264952169,"under"
103.836551902961,49.4264148902547,"under"
103.039284043504,51.067660449664,"under"
102.216076595316,52.6960499986522,"under"
101.367136796472,54.3111735988585,"under"
100.492678363025,55.9126246515539,"under"
99.5929214352104,57.5,"under"
98.6680925220224,59.0729000309417,"under"
97.7184244441942,60.6309287752078,"under"
96.7441562755858,62.1736940073937,"under"
95.7455332829987,63.7008073446027,"under"
94.7228068644308,65.2118843442186,"under"
93.6762344857886,66.7065446006878,"under"
92.6060796160717,68.1844118412836,"under"
91.5126116610457,69.6451140208317,"under"
90.3961058954206,71.0882834153696,"under"
89.256843393552,72.5135567147201,"under"
88.0951109586825,73.920575113952,"under"
86.9112010507397,75.3089844037078,"under"
85.7054117127118,76.6784350593735,"under"
84.4780464956163,78.0285823290702,"under"
83.2294143820831,79.3590863204429,"under"
81.9598297085692,80.6696120862269,"under"
80.6696120862269,81.9598297085692,"under"
79.3590863204429,83.2294143820831,"under"
78.0285823290702,84.4780464956163,"under"
76.6784350593735,85.7054117127118,"under"
75.3089844037078,86.9112010507397,"under"
73.920575113952,88.0951109586825,"under"
72.5135567147201,89.256843393552,"under"
71.0882834153696,90.3961058954205,"under"
69.6451140208317,91.5126116610457,"under"
68.1844118412837,92.6060796160717,"under"
66.7065446006878,93.6762344857886,"under"
65.2118843442186,94.7228068644308,"under"
63.7008073446027,95.7455332829987,"under"
62.1736940073937,96.7441562755858,"under"
60.6309287752078,97.7184244441942,"under"
59.0729000309417,98.6680925220223,"under"
57.5,99.5929214352105,"under"
55.9126246515539,100.492678363025,"under"
54.3111735988585,101.367136796472,"under"
52.6960499986522,102.216076595316,"under"
51.067660449664,103.039284043504,"under"
49.4264148902547,103.836551902961,"under"
47.7727264952169,104.60767946577,"under"
46.1070115717606,105.352472604688,"under"
44.4296894547098,106.070743822027,"under"
42.7411824009377,106.762312296848,"under"
41.0419154830653,107.427003930487,"under"
39.3323164824519,108.064651390379,"under"
37.6128157815035,108.675094152187,"under"
35.883846255326,109.258178540209,"under"
34.1458431627516,109.813757766068,"under"
32.3992440367644,110.341691965667,"under"
30.644488574354,110.841848234393,"under"
28.8820185258241,111.314100660581,"under"
27.1122775835841,111.758330357207,"under"
25.3357112704522,112.174425491822,"under"
23.5527668274969,112.5622813147,"under"
21.7638931014472,112.921800185211,"under"
19.969540431697,113.252891596404,"under"
18.1701605369352,113.555472197785,"under"
16.3662064014278,113.829465816307,"under"
14.5581321609812,114.074803475541,"under"
12.7463929886163,114.291423413044,"under"
10.931444979981,114.479271095905,"under"
9.11374503853067,114.638299234473,"under"
7.29375076050492,114.768467794267,"under"
5.47192031973035,114.869744006046,"under"
3.64871235227777,114.942102374066,"under"
1.82458584100291,114.985524682496,"under"
7.04171909509728e-15,115,"under"
0,25.3357112704522,"under"
-7.04171909509728e-15,-115,"topped"
1.8245858410029,-114.985524682496,"topped"
3.64871235227778,-114.942102374066,"topped"
5.47192031973036,-114.869744006046,"topped"
7.29375076050491,-114.768467794267,"topped"
9.11374503853066,-114.638299234473,"topped"
10.931444979981,-114.479271095905,"topped"
12.7463929886163,-114.291423413044,"topped"
14.5581321609812,-114.074803475541,"topped"
16.3662064014278,-113.829465816307,"topped"
18.1701605369352,-113.555472197785,"topped"
19.969540431697,-113.252891596404,"topped"
21.7638931014472,-112.921800185211,"topped"
23.5527668274969,-112.5622813147,"topped"
25.3357112704522,-112.174425491822,"topped"
27.1122775835841,-111.758330357207,"topped"
28.8820185258241,-111.314100660581,"topped"
30.644488574354,-110.841848234393,"topped"
32.3992440367644,-110.341691965667,"topped"
34.1458431627516,-109.813757766068,"topped"
35.883846255326,-109.258178540209,"topped"
37.6128157815035,-108.675094152187,"topped"
39.3323164824519,-108.064651390379,"topped"
41.0419154830653,-107.427003930487,"topped"
42.7411824009377,-106.762312296848,"topped"
44.4296894547098,-106.070743822027,"topped"
46.1070115717606,-105.352472604688,"topped"
47.7727264952169,-104.60767946577,"topped"
49.4264148902547,-103.836551902961,"topped"
51.067660449664,-103.039284043504,"topped"
52.6960499986522,-102.216076595316,"topped"
54.3111735988585,-101.367136796472,"topped"
55.9126246515539,-100.492678363025,"topped"
57.5,-99.5929214352104,"topped"
59.0729000309417,-98.6680925220224,"topped"
60.6309287752078,-97.7184244441942,"topped"
62.1736940073937,-96.7441562755858,"topped"
63.7008073446027,-95.7455332829987,"topped"
65.2118843442186,-94.7228068644308,"topped"
66.7065446006878,-93.6762344857886,"topped"
68.1844118412836,-92.6060796160718,"topped"
69.6451140208316,-91.5126116610457,"topped"
71.0882834153696,-90.3961058954205,"topped"
72.5135567147201,-89.256843393552,"topped"
73.920575113952,-88.0951109586825,"topped"
75.3089844037078,-86.9112010507397,"topped"
76.6784350593735,-85.7054117127118,"topped"
78.0285823290702,-84.4780464956163,"topped"
79.3590863204429,-83.2294143820831,"topped"
80.669612086227,-81.9598297085692,"topped"
81.9598297085692,-80.6696120862269,"topped"
83.2294143820831,-79.3590863204429,"topped"
84.4780464956163,-78.0285823290702,"topped"
85.7054117127118,-76.6784350593735,"topped"
