"X.Coord","Y.Coord","Dist","HorizAng"
74.4314127244362,75.30532851243,105.881668396944,44.665605666519
74.2183301230775,76.3389528144451,106.47063559059,44.1930334175758
73.9908943701433,77.3695140067114,107.054631601479,43.7212739023157
73.7491494496444,78.3968127880457,107.633625321597,43.2503070937943
73.4931421128547,79.4206504881857,108.207585970609,42.7801135370385
73.2229218692702,80.4408291062106,108.776483094315,42.3106743277351
72.9385409770339,81.4571513488329,109.340286563211,41.84197109184
72.6400544328298,82.4694206685533,109.898966571171,41.3739859660618
72.3275199612472,83.4774413016708,110.452493634225,40.9067015791751
72.0009980036168,84.4810183061419,111.000838589443,40.4401010341236
71.6605517063222,85.4799575992806,111.543972593903,39.9741678908737
71.3062469085882,86.4740659952922,112.081867123753,39.5088861499816
70.9381521297476,87.4631512426335,112.614493973356,39.0442402368392
70.5563385559904,88.447022061193,113.141825254504,38.5802149865666
70.1608800265971,89.425488179282,113.663833395718,38.1167956295192
69.751853019659,90.3983603704321,114.180491141607,37.6539677773811
69.3293366372875,91.3654504899896,114.6917715523,37.1917174098162
68.893412590317,92.3265715115009,115.197648002934,36.7300308616509
68.4441651825026,93.2815375628818,115.698094183202,36.2688948105637
67.9816812942164,94.2301639623636,116.193084096956,35.808296265258
67.5060503656456,95.1722672542084,116.682592061865,35.3482225540951
67.017364379496,96.1076652441886,117.166592709113,34.8886613141676
66.5157178432028,97.0361770348209,117.645060983152,34.4296004807911
66.0012077706541,97.9576230603503,118.117972141494,33.9710282773974
65.4739336634292,98.8718251214769,118.585301754539,33.5129332058084
64.9339974915558,99.7786064198178,119.047025705451,33.0553040368764
64.3815036737902,100.677791592098,119.503120190061,32.5981298014717
63.8165590574232,101.569206744065,119.953561716809,32.141399781804
63.2392728976173,102.452679484117,120.39832710671,31.6851035030618
62.6497568362773,103.328038956642,120.837393493364,31.2292307253556
62.0481248804601,104.195115875063,121.270738322973,30.7737714359526
61.4344933803267,105.05374255457,121.698339354403,30.3187158417892
60.8089810066411,105.903752944556,122.120174659258,29.8640543622494
60.1717087278202,106.744982660725,122.536222621982,29.4097776221977
59.52279978654,107.577269016881,122.94646193998,28.9558764452558
58.8623796759016,108.400451056398,123.350871623756,28.5023418473121
58.1905761151615,109.214369583337,123.749430997076,28.0491650302543
57.5075190250323,110.018867193242,124.142119697138,27.5963373759159
56.813340502557,110.813788303574,124.528917674767,27.1438504402267
56.1081747955629,111.598979183805,124.909805194615,26.6916959475597
55.3921582766988,112.374287985142,125.284762835385,26.2398657852657
54.6654294170622,113.1395647699,125.653771490052,25.788351998387
53.9281287594202,113.894661540492,126.016812366112,25.3371467845439
53.1803988910294,114.639432268055,126.373866985825,24.8862424889865
52.4223844160615,115.373732920688,126.724917186478,24.435631599804
51.6542319276375,116.097421491308,127.069945120648,23.9853067432865
50.8760899794783,116.810358025113,127.408933256483,23.5352606794309
50.0881090571758,117.512404646645,127.741864377973,23.085486297588
49.2904415490899,118.20342558646,128.068721585241,22.6359766122415
48.4832417168787,118.883287207377,128.389488294833,22.1867247589158
47.6666656656649,119.551858030328,128.704148240008,21.7377239902073
46.8408713138471,120.209008759784,129.012685471043,21.2889676719321
46.0060183625596,120.854612308755,129.315084355522,20.8404492793882
45.1622682647875,121.488543823375,129.611329578647,20.3921623937251
44.3097841941434,122.11068070704,129.901406143537,19.9441006984171
43.448731013311,122.720902644122,130.185299371531,19.4962579758375
42.5792752421621,123.319091623236,130.462994902493,19.0486281039267
41.7015850255532,123.905131960062,130.734478695116,18.6012050529534
40.815830100808,124.478910319716,130.999737027225,18.1539828823625
39.9221817648913,125.040315738671,131.258756496073,17.706955737708
39.0208128412822,125.589239646212,131.51152401865,17.260117847666
38.1118976465514,126.125575885436,131.75802683197,16.8134635211256
37.1956119566498,126.649220733782,131.998252493372,16.3669871443538
36.2721329729154,127.160072923089,132.232188880809,15.9206831782309
35.3416392878038,127.658033659177,132.459824193137,15.4745461555547
34.4043108503502,128.143006640959,132.681146950395,15.0285706784096
33.4603289313689,128.614898079062,132.896145994091,14.5827514155975
32.5098760883972,129.073616713962,133.104810487472,14.1370831001293
31.5531361303905,129.51907383364,133.307129915795,13.6915605267726
30.5902940821748,129.951183290729,133.503094086596,13.2461785496549
29.6215361486654,130.369861519182,133.692693129944,12.8009320799179
28.6470496788559,130.775027550429,133.875917498698,12.3558160834226
27.6670231295869,131.166603029035,134.052757968755,11.9108255785012
26.6816460291001,131.544512227857,134.22320563929,11.4659556337549
25.6911089403853,131.908682062685,134.387251932991,11.0212013658947
24.695603424327,132.259042106376,134.544888596289,10.5765579376229
23.6953220026588,132.595524602479,134.696107699578,10.1320205555552
22.6904581207308,132.918064478331,134.840901637427,9.68758446817799
21.6812061100995,133.226599357647,134.979263128792,9.24324496384295
20.6677611509455,133.521069572582,135.111185217208,8.79899736879378
19.650319234328,133.801418175267,135.236661270987,8.35483704522522
18.6290771242809,134.067590948827,135.355684983396,7.91075938937209
17.6042323197616,134.319536417863,135.468250372837,7.46675982962635
16.5759830164555,134.557205858407,135.574351783011,7.02283382468096
15.5445280684475,134.780553307347,135.673983883076,6.57897686169864
14.5100669497648,134.989535571311,135.767141667802,6.13518445450416
13.472799715801,135.184112235028,135.853820457706,5.69145214179832
12.4329269646267,135.364245669135,135.934015899192,5.24777548539231
11.390649798196,135.529901037461,136.007723964667,4.80415006846113
10.3461697834551,135.681046303761,136.074940952666,4.36057149381392
9.29968891336103,135.817652237912,136.135663487948,3.91703538218077
8.25140956781818,135.939692421566,136.1898885216,3.47353737051367
7.20153447453964,136.047143253258,136.237613331123,3.03007311030061
6.15026666984174,136.139983952974,136.27883552051,2.58663826589152
5.09780945937849,136.218196566164,136.313553020315,2.14322851283455
4.04436637882423,136.281765967218,136.341764087713,1.69983953622128
2.99014115451161,136.330679862391,136.363467306554,1.25646702903961
1.93533766403275,136.36492879218,136.378661587398,0.81310669053309
0.880159896811277,136.384506133152,136.387346167552,0.369754224565142
-0.175188085347509,136.389408099227,136.38952061109,-0.0735946620129511
-1.23050218772028,136.37963374241,136.385184808864,-0.516944260991664
-2.28557832213575,136.355184952973,136.374338978512,-0.960298864431834
-3.34021244644345,136.316066459089,136.356983664446,-1.40366276629329
-4.39420060397368,136.26228582592,136.333119737842,-1.84704026406528
-5.44733896298086,136.193853454153,136.302748396607,-2.2904356603995
-6.49942385606273,136.110782577987,136.265871165354,-2.73385326474735
-7.55025181954775,136.013089262576,136.222489895347,-3.17729739500267
