"stat","start","all.acc","first.team","poy"
"Hit",0.15997619047619,0.294833333333333,0.321190476190476,0.367
"Reached Base",0.255928571428571,0.393,0.418285714285714,0.488
"Bases",0.18997619047619,0.449,0.537190476190476,0.696
"Walk",0.0219304388422036,0.12805698005698,0.154520697167756,0.238095238095238
"Strikeout",0.329431772709084,0.148717275194817,0.11624763449581,0.0681818181818182
"Home Run",0,3.27777777777777,7,12
"Hard Hit",0.0546968787515006,0.185570987654321,0.227302459445317,0.314102564102564
