"x","y","Pitch"
82.4330090994666,4.2300067238125,"FB"
87.5161593975526,26.897703475375,"FB"
99.5886413555068,26.36434590475,"FB"
98.6990900533417,1.0298613000625,"FB"
93.9971760276122,-2.43696290899999,"FB"
89.4223407593348,-0.836890197124993,"FB"
87.6432381550047,-0.30353262649999,"FB"
85.355820520866,1.829897656,"FB"
82.4330090994666,4.2300067238125,"FB"
83.1954816441795,6.89679457693751,"CH"
81.7976153122058,2.36325522662501,"CH"
70.2334483840603,3.69664915318751,"CH"
71.1229996862253,25.5643095488125,"CH"
86.2453718230311,26.6310246900625,"CH"
87.007844367744,19.96405505725,"CH"
83.5767179165359,15.163836921625,"CH"
83.5767179165359,11.1636551419375,"CH"
83.1954816441795,6.89679457693751,"CH"
88.5327894571698,-3.23699926493749,"BB"
83.0684028867273,2.09657644131251,"BB"
69.2168183244431,1.29654008537501,"BB"
69.4709758393473,-23.5045869486875,"BB"
89.0411044869784,-24.0379445193125,"BB"
88.5327894571698,-3.23699926493749,"BB"
