"Batter","PlateLocSide_Catcher","PlateLocHeight","radius"
"Brantley, Cameran",-0.467900589596239,2.78047579983593,0.438764513820235
"Busch, Michael",0.0519889543995809,2.46095159967186,0.666236680779342
"Casparius, Ben",0.20916486304948,2.73453650533224,0.673886401323282
"Caufield, Tom",0.0278080453765201,2.63486464315012,0.441031538014942
"Enwiller, Dylan",0.342159862676318,3.00032813781788,0.604341206482732
"Freeman, Ike",0.100350772445704,2.51402789171452,0.608067662262948
"Harris, Dylan",-0.238181953877156,2.51468416735029,0.525322136277909
"Hesterlee, Jackson",-0.14145831778491,3.11107465135357,0.588483856669852
"Holtzapple, Jake",-0.0205537726696031,2.6791632485644,0.52050861361772
"Illies, Brendan",0.378431226210911,2.85635767022149,0.480031716838077
"Inclan, Clemente",0.0398984998880505,2.81534044298605,0.432587767072176
"Martorano, Brandon",0.19707440853795,2.56841673502871,0.594579735597881
"McGee, Ashton",-0.262362862900217,2.93388022969647,0.71752664180801
"Roberts, Caleb",-0.177729681319502,2.98925348646432,0.526233602099653
"Sabato, Aaron",0.100350772445704,2.64593929450369,0.554221645638008
"Schroeder, Will",-0.00846331815807276,2.85635767022149,0.421530885843557
"Semper, Earl",0.0398984998880505,2.69023789991797,0.454221645638008
"Serretti, Danny",-0.165639226807971,2.80098441345365,0.515846334810563
"Tessar, Dallas",0.0398984998880505,2.2915504511895,0.491020179521147
"Zarate, Angel",0.0882603179341729,3.22510254306809,0.441806941058918
