"GameID","PlayID","PitchNo","Date","Time","PAofInning","PitchofPA","Pitcher","PitcherId","PitcherThrows","PitcherTeam","Batter","BatterId","BatterSide","BatterTeam","PitcherSet","Inning","Top.Bottom","Outs","Balls","Strikes","TaggedPitchType","AutoPitchType","PitchCall","KorBB","HitType","PlayResult","OutsOnPlay","RunsScored","Notes","RelSpeed","VertRelAngle","HorzRelAngle","SpinRate","SpinAxis","Tilt","RelHeight","RelSide","Extension","VertBreak","InducedVertBreak","HorzBreak","PlateLocHeight","PlateLocSide","ZoneSpeed","VertApprAngle","HorzApprAngle","ZoneTime","ExitSpeed","Angle","Direction","HitSpinRate","PositionAt110X","PositionAt110Y","PositionAt110Z","Distance","LastTrackedDistance","Bearing","HangTime","pfxx","pfxz","x0","y0","z0","vx0","vy0","vz0","ax0","ay0","az0","HomeTeam","AwayTeam","Stadium","Level","League","PitchUID","yyyymmdd","key","XCoord","YCoord","XLand","YLand","barrel","solid","F.B","topped","under","weak","ContactType","LAEVcol","Bases","Hit","X1B","X2B","X3B","HR","SH","Error","Out","K","BB","HBP","ExpOBP","ExpSLG","Exp2OPS","Pred_1B","Pred_2B","Pred_3B","Pred_HR","BBtype"
"UNC2UNC091816","UNC2UNC091816 01( 04",11,"9/18/16","1:38:06 PM",4,1,"Peto, Robbie",8889484,"Right","NOR_TAR","Ladowski, Josh",8890003,"Right","NOR_TAR2","Undefined",1,"Top",2,0,0,"FB","FB","StrikeCalled","Undefined","Undefined","Undefined",0,0,NA,90.66336269,-2.987385725,-5.055239027,2307.33278,206.125898,"12:45",6.41736867,2.330934941,6.22725356,-7.082933988,26.6802443,13.10104348,3.057942601,-1.252987436,82.47741735,-4.331259592,-2.584074101,0.418208812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.581325168,15.41426354,-1.959510568,50,6.189961101,11.21570776,-131.3628729,-7.100993582,-14.97549462,28.16042098,-5.274214759,"NOR_TAR","NOR_TAR2","UNC","D1","ACC","a9ce2d13-7dc6-11e6-a963-3417ebb12bea","2016-09-18","UNC2UNC091816 01( 04 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"UNC2UNC091816","UNC2UNC091816 01( 04",12,"9/18/16","1:38:26 PM",4,2,"Peto, Robbie",8889484,"Right","NOR_TAR","Ladowski, Josh",8890003,"Right","NOR_TAR2","Undefined",1,"Top",2,0,1,"FB","FB","BallCalled","Undefined","Undefined","Undefined",0,0,NA,89.59503385,-3.453301731,-4.626464312,2271.944857,218.8580803,"1:15",6.236866254,2.099394221,6.220243896,-17.20173365,17.20430709,13.88741896,1.602949664,-1.021173765,82.21948326,-6.684867707,-2.011330136,0.422171458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.806088746,10.30362925,-1.760054239,50,5.969075453,10.08381038,-129.8807797,-8.391544855,-15.10366906,26.16260535,-14.50188889,"NOR_TAR","NOR_TAR2","UNC","D1","ACC","b41e35e8-7dc6-11e6-a963-3417ebb12bea","2016-09-18","UNC2UNC091816 01( 04 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"UNC2UNC091816","UNC2UNC091816 01( 04",13,"9/18/16","1:38:43 PM",4,3,"Peto, Robbie",8889484,"Right","NOR_TAR","Ladowski, Josh",8890003,"Right","NOR_TAR2","Undefined",1,"Top",2,1,1,"CH","CH","BallCalled","Undefined","Undefined","Undefined",0,0,NA,82.76012374,-3.490693369,-5.487218333,2177.081728,238.0566147,"2:00",6.015757891,2.695198487,6.289279958,-28.60702757,11.4728352,18.4612481,0.39658791,-0.837983392,76.72602565,-8.829892572,-2.021672695,0.455653417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11.43187376,7.126738041,-2.299772142,50,5.743629882,10.99646412,-119.8730661,-8.150112905,-16.8167957,20.78883911,-21.69029933,"NOR_TAR","NOR_TAR2","UNC","D1","ACC","bd175885-7dc6-11e6-a963-3417ebb12bea","2016-09-18","UNC2UNC091816 01( 04 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"UNC2UNC091816","UNC2UNC091816 01( 04",14,"9/18/16","1:39:07 PM",4,4,"Peto, Robbie",8889484,"Right","NOR_TAR","Ladowski, Josh",8890003,"Right","NOR_TAR2","Undefined",1,"Top",2,2,1,"FB","FB","BallCalled","Undefined","Undefined","Undefined",0,0,NA,89.50545875,-1.054839481,-5.99304282,2127.099316,222.9120603,"1:30",6.46255523,2.034636209,6.203160513,-19.81127077,14.83583596,13.82241442,3.832605845,-2.364952135,81.63784945,-4.79031851,-3.395183219,0.423647849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.20094934,8.38392128,-1.590532031,50,6.372965534,13.18624846,-129.6441133,-3.007870556,-15.66750012,26.97341524,-17.89779479,"NOR_TAR","NOR_TAR2","UNC","D1","ACC","cde33ea5-7dc6-11e6-a963-3417ebb12bea","2016-09-18","UNC2UNC091816 01( 04 4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"UNC2UNC091816","UNC2UNC091816 01( 04",15,"9/18/16","1:39:31 PM",4,5,"Peto, Robbie",8889484,"Right","NOR_TAR","Ladowski, Josh",8890003,"Right","NOR_TAR2","Undefined",1,"Top",2,3,1,"FB","FB","FoulBall","Undefined","Undefined","Undefined",0,0,NA,88.88043,-2.783136379,-4.262986023,2270.026392,214.1100695,"1:15",6.295843655,2.200768409,6.306936313,-14.58256438,20.50099599,13.90781489,2.507877718,-0.574251507,80.69732484,-5.547406378,-1.62480003,0.426307868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.889038316,12.06658861,-1.8948999,50,6.08440856,9.196797348,-128.9248922,-6.71824505,-14.86831212,28.35878796,-11.9907847,"NOR_TAR","NOR_TAR2","UNC","D1","ACC","d7ed14ee-7dc6-11e6-a963-3417ebb12bea","2016-09-18","UNC2UNC091816 01( 04 5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"UNC2UNC091816","UNC2UNC091816 01( 04",16,"9/18/16","1:40:08 PM",4,6,"Peto, Robbie",8889484,"Right","NOR_TAR","Ladowski, Josh",8890003,"Right","NOR_TAR2","Undefined",1,"Top",2,3,2,"FB","FB","BallCalled","Walk","Undefined","Undefined",0,0,NA,90.20902576,-2.352746741,-5.381156575,2299.423598,217.4594562,"1:15",6.240745543,2.123549638,6.371973879,-20.77912637,13.28858385,10.20629973,2.333844485,-1.991141914,82.00929262,-6.285623058,-3.448810137,0.420090626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.210669306,8.004918391,-1.739464827,50,6.060661151,12.00735699,-130.6929497,-6.011149707,-12.39064584,29.21212162,-18.41858362,"NOR_TAR","NOR_TAR2","UNC","D1","ACC","f2b822b0-7dc6-11e6-a963-3417ebb12bea","2016-09-18","UNC2UNC091816 01( 04 6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"UNC2UNC091816","UNC2UNC091816 01( 05",17,"9/18/16","1:41:04 PM",5,1,"Peto, Robbie",8889484,"Right","NOR_TAR","Lynn, Tyler",8890004,"Left","NOR_TAR2","Undefined",1,"Top",2,0,0,"FB","FB","BallCalled","Undefined","Undefined","Undefined",0,0,NA,90.0100628,-3.19780932,-4.781866017,2185.041387,219.1437988,"1:15",6.220368133,2.410957987,6.251628938,-18.48624471,15.73629292,12.83471512,1.717803645,-0.939060319,82.17683415,-6.681587011,-2.357912965,0.421044136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.372070107,9.510666049,-2.061907772,50,5.97301726,10.52056298,-130.4450748,-7.877556884,-14.39983898,27.89338641,-15.8158411,"NOR_TAR","NOR_TAR2","UNC","D1","ACC","13c27863-7dc7-11e6-a963-3417ebb12bea","2016-09-18","UNC2UNC091816 01( 05 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"UNC2UNC091816","UNC2UNC091816 01( 05",18,"9/18/16","1:41:40 PM",5,2,"Peto, Robbie",8889484,"Right","NOR_TAR","Lynn, Tyler",8890004,"Left","NOR_TAR2","Undefined",1,"Top",2,1,0,"CH","CH","BallCalled","Undefined","Undefined","Undefined",0,0,NA,82.35458174,-0.377773976,-4.331162986,1987.657556,225.8954099,"1:30",6.223996847,2.663642026,6.161743921,-24.91257675,15.81409901,16.35577662,3.798010056,0.018468369,75.31171026,-5.07296602,-1.247905854,0.459315393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.09027968,8.712617401,-2.343501399,50,6.182453333,8.592486608,-119.617543,-1.502323743,-14.64264886,22.73112265,-19.53061337,"NOR_TAR","NOR_TAR2","UNC","D1","ACC","28634d61-7dc7-11e6-a963-3417ebb12bea","2016-09-18","UNC2UNC091816 01( 05 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"UNC2UNC091816","UNC2UNC091816 01( 05",19,"9/18/16","1:42:06 PM",5,3,"Peto, Robbie",8889484,"Right","NOR_TAR","Lynn, Tyler",8890004,"Left","NOR_TAR2","Undefined",1,"Top",2,2,0,"FB","FB","InPlay","Undefined","GroundBall","Out",1,0,NA,89.10220805,-1.460106178,-3.570725721,2270.716956,208.1830379,"1:00",6.13452139,2.325139315,6.247507335,-23.77618829,10.74112039,5.772634102,2.803806675,-0.490865393,82.00269643,-5.929055245,-2.483029736,0.422853551,88.6954533,3.933930715,35.36038689,2517.679106,NA,NA,NA,80.85255567,80.85255567,38.07383441,0.674974365,-4.088677009,6.244687097,-2.062646279,50,6.014049404,7.907821763,-129.5458737,-4.033611749,-6.985203108,25.71167668,-21.50546123,"NOR_TAR","NOR_TAR2","UNC","D1","ACC","391d31ab-7dc7-11e6-a963-3417ebb12bea","2016-09-18","UNC2UNC091816 01( 05 3",-88.4864712950776,6.08505002755883,49.8598659296306,63.6484840970286,0,0,0,1,0,0,"Topped","darkgreen",0,0,0,0,0,0,0,0,1,0,0,0,0.472503171278165,0.742492839351607,0.515249410174829,0.316534944813314,0.133006196247444,0.0209733924281299,0.00198863778927708,"GB"
"UNC2UNC091816","UNC2UNC091816 01) 01",20,"9/18/16","1:44:44 PM",1,1,"Hiatt, Josh",8890011,"Right","NOR_TAR2","Busch, Michael",8899287,"Left","NOR_TAR","Undefined",1,"Bottom",0,0,0,"FB","FB","StrikeCalled","Undefined","Undefined","Undefined",0,0,NA,88.96974249,-2.74559603,-4.000557343,2226.832329,220.1272593,"1:15",6.069944281,2.10147222,5.776053087,-18.29615155,17.47833915,14.76069758,1.982587044,-0.396610846,80.69658245,-6.178903867,-1.223567264,0.430485223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.146356596,10.23252201,-1.77991701,50,5.831889961,8.535603668,-128.972376,-6.800437738,-15.28655452,28.76053615,-15.07215623,"NOR_TAR","NOR_TAR2","UNC","D1","ACC","93bbc5af-7dc7-11e6-a963-3417ebb12bea","2016-09-18","UNC2UNC091816 01) 01 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"UNC2UNC091816","UNC2UNC091816 01) 01",21,"9/18/16","1:44:58 PM",1,2,"Hiatt, Josh",8890011,"Right","NOR_TAR2","Busch, Michael",8899287,"Left","NOR_TAR","Undefined",1,"Bottom",0,0,1,"FB","FB","FoulBall","Undefined","Undefined","Undefined",0,0,NA,90.43513193,-1.646833054,-2.86190059,2311.025054,232.6617609,"1:45",5.993203652,2.076619254,5.840485457,-23.34940596,10.90862484,14.34203218,2.51474073,0.610107773,82.51996406,-6.024570535,-0.163149895,0.421262418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.547184025,6.349373654,-1.852079719,50,5.845386313,6.093388265,-131.4069748,-4.557366139,-14.90046479,28.62277765,-21.10506744,"NOR_TAR","NOR_TAR2","UNC","D1","ACC","9cb9f17d-7dc7-11e6-a963-3417ebb12bea","2016-09-18","UNC2UNC091816 01) 01 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
